,player_name,position,club_name,country_name,age,market_value
0,Erling Haaland,Depan-Tengah,Manchester City,Norwegia,24,3476330000000.0
1,Vinicius Junior,Sayap Kiri,Real Madrid,Brasil,24,3476330000000.0
2,Jude Bellingham,Gel. Serang,Real Madrid,Inggris,21,3128700000000.0
3,Kylian Mbappé,Depan-Tengah,Real Madrid,Prancis,25,3128700000000.0
4,Lamine Yamal,Sayap Kanan,FC Barcelona,Spanyol,17,2607250000000.0
5,Phil Foden,Sayap Kanan,Manchester City,Inggris,24,2607250000000.0
6,Bukayo Saka,Sayap Kanan,Arsenal FC,Inggris,23,2433430000000.0
7,Florian Wirtz,Gel. Serang,Bayer 04 Leverkusen,Jerman,21,2259610000000.0
8,Jamal Musiala,Gel. Serang,Bayern Munich,Jerman,21,2259610000000.0
9,Federico Valverde,Gel. Tengah,Real Madrid,Uruguay,26,2259610000000.0
10,Rodri,Gel. Bertahan,Manchester City,Spanyol,28,2259610000000.0
11,Declan Rice,Gel. Bertahan,Arsenal FC,Inggris,25,2085800000000.0
12,Rodrygo,Sayap Kanan,Real Madrid,Brasil,23,1911980000000.0
13,Lautaro Martínez,Depan-Tengah,Inter Milan,Argentina,27,1911980000000.0
14,Martin Ødegaard,Gel. Serang,Arsenal FC,Norwegia,25,1911980000000.0
15,Eduardo Camavinga,Gel. Tengah,Real Madrid,Prancis,22,1738160000000.0
16,Aurélien Tchouaméni,Gel. Bertahan,Real Madrid,Prancis,24,1738160000000.0
17,Harry Kane,Depan-Tengah,Bayern Munich,Inggris,31,1738160000000.0
18,Gavi,Gel. Tengah,FC Barcelona,Spanyol,20,1564350000000.0
19,Cole Palmer,Gel. Serang,Chelsea FC,Inggris,22,1564350000000.0
20,Bruno Guimarães,Gel. Bertahan,Newcastle United,Brasil,26,1477440000000.0
21,Pedri,Gel. Tengah,FC Barcelona,Spanyol,21,1390530000000.0
22,Xavi Simons,Gel. Serang,RB Leipzig,Belanda,21,1390530000000.0
23,Khvicha Kvaratskhelia,Sayap Kiri,SSC Napoli,Georgia,23,1390530000000.0
24,William Saliba,Bek-Tengah,Arsenal FC,Prancis,23,1390530000000.0
0,Erling Haaland,Depan-Tengah,Manchester City,Norwegia,24,3476330000000.0
1,Rúben Dias,Bek-Tengah,Manchester City,Portugal,27,1390530000000.0
2,Nicolò Barella,Gel. Tengah,Inter Milan,Italia,27,1390530000000.0
3,Moisés Caicedo,Gel. Bertahan,Chelsea FC,Ekuador,23,1303620000000.0
4,Enzo Fernández,Gel. Tengah,Chelsea FC,Argentina,23,1303620000000.0
5,Julián Alvarez,Depan-Tengah,Atlético de Madrid,Argentina,24,1303620000000.0
6,Alexis Mac Allister,Gel. Tengah,Liverpool FC,Argentina,25,1303620000000.0
7,Josko Gvardiol,Bek-Kiri,Manchester City,Kroasia,22,1303620000000.0
8,Dominik Szoboszlai,Gel. Tengah,Liverpool FC,Hungaria,24,1303620000000.0
9,Gabriel Magalhães,Bek-Tengah,Arsenal FC,Brasil,26,1303620000000.0
10,Victor Osimhen,Depan-Tengah,Galatasaray,Nigeria,25,1303620000000.0
11,Rafael Leão,Sayap Kiri,AC Milan,Portugal,25,1303620000000.0
12,Alexander Isak,Depan-Tengah,Newcastle United,Swedia,25,1303620000000.0
13,Kai Havertz,Depan-Tengah,Arsenal FC,Jerman,25,1303620000000.0
14,Nico Williams,Sayap Kiri,Athletic Bilbao,Spanyol,22,1216710000000.0
15,Ronald Araujo,Bek-Tengah,FC Barcelona,Uruguay,25,1216710000000.0
16,Viktor Gyökeres,Depan-Tengah,Sporting CP,Swedia,26,1216710000000.0
17,Alessandro Bastoni,Bek-Tengah,Inter Milan,Italia,25,1216710000000.0
18,Trent Alexander-Arnold,Bek-Kanan,Liverpool FC,Inggris,26,1216710000000.0
19,James Maddison,Gel. Serang,Tottenham Hotspur,Inggris,27,1216710000000.0
20,Bernardo Silva,Gel. Serang,Manchester City,Portugal,30,1216710000000.0
21,Bradley Barcola,Sayap Kiri,Paris Saint-Germain,Prancis,22,1129810000000.0
22,Rasmus Højlund,Depan-Tengah,Manchester United,Denmark,21,1129810000000.0
23,Michael Olise,Sayap Kanan,Bayern Munich,Prancis,22,1129810000000.0
24,Darwin Núñez,Depan-Tengah,Liverpool FC,Uruguay,25,1129810000000.0
0,Jérémy Doku,Sayap Kiri,Manchester City,Belgia,22,1129810000000.0
1,Dušan Vlahović,Depan-Tengah,Juventus FC,Serbia,24,1129810000000.0
2,Cristian Romero,Bek-Tengah,Tottenham Hotspur,Argentina,26,1129810000000.0
3,Christopher Nkunku,Gel. Serang,Chelsea FC,Prancis,26,1129810000000.0
4,Ollie Watkins,Depan-Tengah,Aston Villa,Inggris,28,1129810000000.0
5,Marcus Thuram,Depan-Tengah,Inter Milan,Prancis,27,1129810000000.0
6,Bruno Fernandes,Gel. Serang,Manchester United,Portugal,30,1129810000000.0
7,Endrick,Depan-Tengah,Real Madrid,Brasil,18,1042900000000.0
8,Warren Zaïre-Emery,Gel. Tengah,Paris Saint-Germain,Prancis,18,1042900000000.0
9,João Neves,Gel. Bertahan,Paris Saint-Germain,Portugal,20,1042900000000.0
10,Gabriel Martinelli,Sayap Kiri,Arsenal FC,Brasil,23,1042900000000.0
11,Bremer,Bek-Tengah,Juventus FC,Brasil,27,1042900000000.0
12,Anthony Gordon,Sayap Kiri,Newcastle United,Inggris,23,1042900000000.0
13,Eberechi Eze,Gel. Serang,Crystal Palace,Inggris,26,1042900000000.0
14,Martín Zubimendi,Gel. Bertahan,Real Sociedad,Spanyol,25,1042900000000.0
